study_id,author,year,title,included_meta_flag
1,Author 1 et al.,2015-2025,Study 1 - AI/ML in fermentation,1
2,Author 2 et al.,2015-2025,Study 2 - AI/ML in fermentation,1
3,Author 3 et al.,2015-2025,Study 3 - AI/ML in fermentation,1
4,Author 4 et al.,2015-2025,Study 4 - AI/ML in fermentation,1
5,Author 5 et al.,2015-2025,Study 5 - AI/ML in fermentation,1
6,Author 6 et al.,2015-2025,Study 6 - AI/ML in fermentation,1
7,Author 7 et al.,2015-2025,Study 7 - AI/ML in fermentation,1
8,Author 8 et al.,2015-2025,Study 8 - AI/ML in fermentation,1
9,Author 9 et al.,2015-2025,Study 9 - AI/ML in fermentation,1
10,Author10 et al.,2015-2025,Study10 - AI/ML in fermentation,1
11,Author11 et al.,2015-2025,Study11 - AI/ML in fermentation,1
12,Author12 et al.,2015-2025,Study12 - AI/ML in fermentation,1
13,Author13 et al.,2015-2025,Study13 - AI/ML in fermentation,1
14,Author14 et al.,2015-2025,Study14 - AI/ML in fermentation,1
15,Author15 et al.,2015-2025,Study15 - AI/ML in fermentation,1
16,Author16 et al.,2015-2025,Study16 - AI/ML in fermentation,1
17,Author17 et al.,2015-2025,Study17 - AI/ML in fermentation,1
18,Author18 et al.,2015-2025,Study18 - AI/ML in fermentation,1
19,Author19 et al.,2015-2025,Study19 - AI/ML in fermentation,1
20,Author20 et al.,2015-2025,Study20 - AI/ML in fermentation,1
21,Author21 et al.,2015-2025,Study21 - AI/ML in fermentation,1
22,Author22 et al.,2015-2025,Study22 - AI/ML in fermentation,1
23,Author23 et al.,2015-2025,Study23 - AI/ML in fermentation,1
24,Author24 et al.,2015-2025,Study24 - AI/ML in fermentation,1
25,Author25 et al.,2015-2025,Study25 - AI/ML in fermentation,1
26,Author26 et al.,2015-2025,Study26 - AI/ML in fermentation,1
27,Author27 et al.,2015-2025,Study27 - AI/ML in fermentation,1
28,Author28 et al.,2015-2025,Study28 - AI/ML in fermentation,1
29,Author29 et al.,2015-2025,Study29 - AI/ML in fermentation,1
30,Author30 et al.,2015-2025,Study30 - AI/ML in fermentation,1
31,Author31 et al.,2015-2025,Study31 - AI/ML in fermentation,1
32,Author32 et al.,2015-2025,Study32 - AI/ML in fermentation,1
33,Author33 et al.,2015-2025,Study33 - AI/ML in fermentation,1
34,Author34 et al.,2015-2025,Study34 - AI/ML in fermentation,1
35,Author35 et al.,2015-2025,Study35 - AI/ML in fermentation,1
36,Author36 et al.,2015-2025,Study36 - AI/ML in fermentation,1
37,Author37 et al.,2015-2025,Study37 - AI/ML in fermentation,1
38,Author38 et al.,2015-2025,Study38 - AI/ML in fermentation,1
39,Author39 et al.,2015-2025,Study39 - AI/ML in fermentation,1
40,Author40 et al.,2015-2025,Study40 - AI/ML in fermentation,1
41,Author41 et al.,2015-2025,Study41 - AI/ML in fermentation,1
42,Author42 et al.,2015-2025,Study42 - AI/ML in fermentation,1
43,Author43 et al.,2015-2025,Study43 - AI/ML in fermentation,1
44,Author44 et al.,2015-2025,Study44 - AI/ML in fermentation,1
45,Author45 et al.,2015-2025,Study45 - AI/ML in fermentation,1
46,Author46 et al.,2015-2025,Study46 - AI/ML in fermentation,1
47,Author47 et al.,2015-2025,Study47 - AI/ML in fermentation,1
48,Author48 et al.,2015-2025,Study48 - AI/ML in fermentation,1
49,Author49 et al.,2015-2025,Study49 - AI/ML in fermentation,1
50,Author50 et al.,2015-2025,Study50 - AI/ML in fermentation,1
51,Author51 et al.,2015-2025,Study51 - AI/ML in fermentation,1
52,Author52 et al.,2015-2025,Study52 - AI/ML in fermentation,1
53,Author53 et al.,2015-2025,Study53 - AI/ML in fermentation,1
54,Author54 et al.,2015-2025,Study54 - AI/ML in fermentation,1
55,Author55 et al.,2015-2025,Study55 - AI/ML in fermentation,1
56,Author56 et al.,2015-2025,Study56 - AI/ML in fermentation,1
57,Author57 et al.,2015-2025,Study57 - AI/ML in fermentation,1
58,Author58 et al.,2015-2025,Study58 - AI/ML in fermentation,1
59,Author59 et al.,2015-2025,Study59 - AI/ML in fermentation,1
60,Author60 et al.,2015-2025,Study60 - AI/ML in fermentation,1
61,Author61 et al.,2015-2025,Study61 - AI/ML in fermentation,1
62,Author62 et al.,2015-2025,Study62 - AI/ML in fermentation,1
63,Author63 et al.,2015-2025,Study63 - AI/ML in fermentation,1
64,Author64 et al.,2015-2025,Study64 - AI/ML in fermentation,1
65,Author65 et al.,2015-2025,Study65 - AI/ML in fermentation,1
66,Author66 et al.,2015-2025,Study66 - AI/ML in fermentation,1
67,Author67 et al.,2015-2025,Study67 - AI/ML in fermentation,1
68,Author68 et al.,2015-2025,Study68 - AI/ML in fermentation,1
69,Author69 et al.,2015-2025,Study69 - AI/ML in fermentation,1
70,Author70 et al.,2015-2025,Study70 - AI/ML in fermentation,1
71,Author71 et al.,2015-2025,Study71 - AI/ML in fermentation,1
72,Author72 et al.,2015-2025,Study72 - AI/ML in fermentation,1
73,Author73 et al.,2015-2025,Study73 - AI/ML in fermentation,1
74,Author74 et al.,2015-2025,Study74 - AI/ML in fermentation,1
75,Author75 et al.,2015-2025,Study75 - AI/ML in fermentation,1
76,Author76 et al.,2015-2025,Study76 - AI/ML in fermentation,1
77,Author77 et al.,2015-2025,Study77 - AI/ML in fermentation,1
78,Author78 et al.,2015-2025,Study78 - AI/ML in fermentation,1
79,Author79 et al.,2015-2025,Study79 - AI/ML in fermentation,1
80,Author80 et al.,2015-2025,Study80 - AI/ML in fermentation,1
81,Author81 et al.,2015-2025,Study81 - AI/ML in fermentation,1
82,Author82 et al.,2015-2025,Study82 - AI/ML in fermentation,1
83,Author83 et al.,2015-2025,Study83 - AI/ML in fermentation,1
84,Author84 et al.,2015-2025,Study84 - AI/ML in fermentation,1
85,Author85 et al.,2015-2025,Study85 - AI/ML in fermentation,1
86,Author86 et al.,2015-2025,Study86 - AI/ML in fermentation,1
87,Author87 et al.,2015-2025,Study87 - AI/ML in fermentation,1
88,Author88 et al.,2015-2025,Study88 - AI/ML in fermentation,1
89,Author89 et al.,2015-2025,Study89 - AI/ML in fermentation,1
